County,HOUSING OCCUPANCY Total housing units,UNITS IN STRUCTURE Total housing units,"UNITS IN STRUCTURE 1-unit, detached","UNITS IN STRUCTURE 1-unit, attached",UNITS IN STRUCTURE 2 units,UNITS IN STRUCTURE 3 or 4 units,UNITS IN STRUCTURE 5 to 9 units,UNITS IN STRUCTURE 10 to 19 units,UNITS IN STRUCTURE 20 or more units,YEAR STRUCTURE BUILT Built 2020 or later,YEAR STRUCTURE BUILT Built 2010 to 2019,YEAR STRUCTURE BUILT Built 2000 to 2009,YEAR STRUCTURE BUILT Built 1990 to 1999,YEAR STRUCTURE BUILT Built 1980 to 1989,YEAR STRUCTURE BUILT Built 1970 to 1979,YEAR STRUCTURE BUILT Built 1960 to 1969,YEAR STRUCTURE BUILT Built 1950 to 1959,YEAR STRUCTURE BUILT Built 1940 to 1949,YEAR STRUCTURE BUILT Built 1939 or earlier,BEDROOMS Total housing units,BEDROOMS No bedroom,BEDROOMS 1 bedroom,BEDROOMS 2 bedrooms,BEDROOMS 3 bedrooms,BEDROOMS 4 bedrooms,BEDROOMS 5 or more bedrooms,HOUSING TENURE Occupied housing units,HOUSING TENURE Owner-occupied,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2021 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2018 to 2020,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2017,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2000 to 2009,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1990 to 1999,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1989 and earlier,SELECTED CHARACTERISTICS Occupied housing units,VALUE Owner-occupied units (total num units),"VALUE (owner occupied) Less than $50,000","VALUE (owner occupied) $50,000 to $99,999","VALUE (owner occupied) $100,000 to $149,999","VALUE (owner occupied) $150,000 to $199,999","VALUE (owner occupied) $200,000 to $299,999","VALUE (owner occupied) $300,000 to $499,999","VALUE (owner occupied) $500,000 to $999,999","VALUE (owner occupied) $1,000,000 or more",VALUE (owner occupied) Median (dollars),MORTGAGE STATUS Owner-occupied units,MORTGAGE STATUS Housing units with a mortgage,MORTGAGE STATUS Housing units without a mortgage
San,30845,30845,21592,200,1169,639,1779,1022,925,1141,4217,4453,1480,4037,7478,2839,3139,912,1149,30845,1656,1967,6237,14069,6427,489,25735,17615,8120,25735,6284,5297,5991,3866,2303,1994,25735,17615,1979,2805,1222,3174,4645,2286,1214,290,193200,17615,9065,8550
Smith,100755,100755,67035,2689,2888,2958,4639,5162,3920,5111,14324,18677,11452,12937,15099,7871,9242,3256,2786,100755,2308,7646,23587,45866,18096,3252,81987,57201,24786,81987,23873,16322,18051,12690,6787,4264,81987,57201,4611,5249,4147,5479,13325,12846,10488,1056,272700,57201,28989,28212
Starr,23208,23208,18158,38,343,596,528,852,196,277,4729,4664,4722,4428,2233,1581,436,0,138,23208,525,1356,6404,10665,3811,447,19004,12708,6296,19004,3081,2624,4744,3088,2193,3274,19004,12708,3002,4063,2390,1853,752,310,338,0,89600,12708,,
Tarrant,861091,861091,560244,29578,12440,30485,59962,57918,94548,40221,119171,171986,111204,151382,101180,55749,62574,22387,25237,861091,22860,122844,168621,325331,179914,41521,801716,468641,333075,801716,267135,160140,160972,113125,55976,44368,801716,468641,17788,9016,16437,35568,112101,184792,76084,16855,336000,468641,288493,180148
Taylor,62978,62978,43675,904,1947,2894,2827,3005,3520,2169,7356,5559,6421,9015,8665,4270,11684,3582,4257,62978,1254,5352,13908,31763,8441,2260,54805,32505,22300,54805,20363,9828,9976,5783,4972,3883,54805,32505,3120,4453,4933,3722,8618,5648,1589,422,200300,32505,17460,15045
Tom,52674,52674,35335,2047,358,2027,3470,1749,4056,764,7195,4334,4541,8705,8327,5374,9123,1913,2398,52674,2602,6594,13134,24518,5174,652,47638,28060,19578,47638,16358,8235,9348,6455,3632,3610,47638,28060,2624,4341,2964,4207,6642,4901,1626,755,198500,28060,13457,14603
Travis,644946,644946,331139,29713,15724,20530,31111,57883,141177,47919,156099,117105,78326,95637,70920,34862,23595,10276,10207,644946,29855,130252,141350,196172,124207,23110,608921,317631,291290,608921,247543,123726,119663,64241,30742,23006,608921,317631,8657,5854,3486,3934,18556,94589,130630,51925,569000,317631,214704,102927
Victoria,39826,39826,26712,475,881,2524,2019,984,1488,495,4776,5496,5016,4349,6693,4385,5221,1959,1436,39826,1108,3417,8453,21178,4916,754,34484,23318,11166,34484,9460,6171,7597,4913,2942,3401,34484,23318,2460,2350,3373,3325,5349,4327,2043,91,202400,23318,10156,13162
Walker,31405,31405,16451,1469,1145,579,1349,1692,4638,2619,4427,4508,4543,6431,4409,2736,1158,269,305,31405,419,3921,7610,12360,5909,1186,26539,15536,11003,26539,9780,4030,5927,3905,1286,1611,26539,15536,1494,725,1038,1430,3120,6202,1353,174,298600,15536,,
Webb,89651,89651,60253,3943,1110,3392,3056,3525,7672,4174,15861,20883,19158,9985,7918,3115,3575,1279,3703,89651,2394,8003,18624,40713,18004,1913,83045,54264,28781,83045,20366,13986,20156,14150,8017,6370,83045,54264,1874,5532,8039,11517,16683,8714,1654,251,200800,54264,29341,24923
